slug,name,category,problems,ascents,mapped
cuvier,,,835,20455,true
bellevue,,,220,2393,true
campchailly,,,0,0,
cuvierest,,,256,4507,true
merveille,,,131,566,true
cuvier.nord,,,245,2006,true
cuvierouest,,,175,1242,true
rempart,,,711,6658,true
sorcieres,,,0,0,
piat,,,0,0,
reconnaissance,,,278,871,true
montsetmerveilles,,,0,0,
petitrempart,,,152,624,true
apremont,,,225,4379,true
Apremontbelvedere,,,0,0,
bizons,,,597,2845,true
brulis,,,0,0,
butteauxdames,,,371,4480,true
butteauxpeintres,,,0,0,
buvette,,,0,0,
desert,,,345,6640,true
envers,,,359,5037,true
apremontest,,,388,4749,true
fondgorges,,,0,0,
hautdesgorges,,,0,0,
biches,,,0,0,
marietherese,,,0,0,
apremontouest,,,427,6183,true
portesdesert,,,0,0,
apremontsanglier,,,0,0,
solitude,,,229,818,true
apremontsully,,,0,0,
cuisiniere,,,571,13360,true
carnage,,,0,0,
cretesud,,,166,2817,true
bassesplaines,,,0,0,
druides,,,0,0,
ermitage,,,0,0,false
plaines,,,291,6890,true
hautssablons,,,0,0,
isatis,,,814,32121,true
meyer,,,137,329,true
franchardpointdevue,,,0,0,false
raymond,,,140,888,true
sablons,,,281,4183,true
franchardcarriers,,,141,1831,true
sablons110,,,0,0,
merisiers,,,0,0,
houx,,,0,0,
oiseauxdeproie,,,0,0,
oiseauxproienord,,,0,0,
petitparadis,,,0,0,
renard,,,0,0,
longboyau,,,240,265,false
aigu,,,347,3101,true
cassepotgrises,,,0,0,
cassepotoranges,,,0,0,
cassepotroses,,,0,0,
seineport,,,0,0,
calvaire,,,257,3304,true
calvaireest,,,0,0,
petitmont,,,0,0,
montchauvet,,,0,0,
ussy,,,227,2728,true
montussyest,,,0,0,
hercule,,,134,2727,true
canon,,,734,19499,true
canonouest,,,104,1146,true
germainest,,,296,6152,true
germain,,,0,0,
denecourt,,,0,0,
guette,,,0,0,
marecorneilles,,,0,0,
marion,,,0,0,
reclosescretes,,,0,0,
recloses,,,0,0,
restant,,,130,1005,true
longrocherest,,,0,0,
grottebeatrix,,,138,992,false
longrochergrandesvallees,,,0,0,
restantsud,,,174,2237,true
besnard,,,0,0,
rocherbrule,,,0,0,
avon,,,246,3472,true
avonest,,,41,94,true
avonouest,,,0,0,
bouligny,,,236,1073,true
boulignyest,,,0,0,
combe,,,0,0,
occidentale,,,0,0,
salamandreest,,,0,0,
demoiselles,,,290,3047,true
demoisellesest,,,0,0,
demoisellessud,,,0,0,
etroitures,,,0,0,
princes,,,0,0,
ventesheron,,,0,0,
passage,,,0,0,
montmorillon,,,0,0,
fourceau,,,0,0,
villecerf,,,0,0,
beauregard,,,0,0,
chaintreauville,,,0,0,
darvault,,,0,0,
fosse,,,0,0,
troglodyte,,,0,0,
mammouths,,,0,0,
olivet,,,0,0,
glandelles,,,0,0,
petit,,,275,3810,true
pierrelesault,,,0,0,
puiseletimpasse,,,0,0,
puiselet,,,0,0,
sarrazin,,,328,491,true
sablibum,,,0,0,
greau,,,140,1828,true
pyrenees,,,0,0,
cassepot,,,0,0,
blomont,,,0,0,
hyver,,,0,0,
jouanne,,,613,2751,true
elephant,,,393,7370,true
boutdumonde,,,0,0,
elephantnord,,,0,0,
ouest,,,0,0,
bernard,,,0,0,
pentesmarchais,,,0,0,
maunoury,,,345,5496,true
montblancouest,,,0,0,
montblanc,,,0,0,
simonet,,,0,0,
simonetouest,,,0,0,
diable,,,0,0,
argeville,,,0,0,
boigneville,,,0,0,
cailles,,,0,0,
champlaid,,,0,0,
chateaurenard,,,0,0,
LeGoulot,,,0,0,
leplaid,,,0,0,
norgevaux,,,0,0,
valleeeglise,,,0,0,
canard,,,198,1229,true
buthiersnord,,,0,0,
y,,,389,6216,true
tennis,,,135,1530,true
marlanval,,,0,0,
roisneau,,,0,0,
villetard,,,0,0,
91.1,,,362,6173,true
95.2,,,372,9099,true
95.2ouest,,,110,3798,false
chateauveau,,,0,0,
cul,,,290,6005,true
chats,,,326,10404,true
chatsnord,,,0,0,
chatsouest,,,0,0,
gros,,,292,807,true
cassis,,,153,316,true
jean,,,141,1859,true
chambergeot,,,145,1209,true
justicenoisy,,,0,0,
segognole,,,189,2857,true
pivot,,,0,0,
poteau,,,115,11,true
four,,,0,0,
oiseaux,,,248,7540,true
sabots,,,407,15829,true
sabotsest,,,0,0,
zen,,,0,0,
potets,,,108,1604,true
souris,,,114,3331,true
guetteur,,,0,0,
hautsmilly,,,0,0,
diplodocus,,,198,1845,true
grandemontagne,,,141,337,true
martin,,,754,5900,true
111,,,0,0,
cailleau,,,0,0,
cathedrale,,,148,422,true
tortue,,,0,0,
general,,,163,353,true
mee,,,476,6024,true
fin,,,375,5673,true
guichot,,,172,4496,true
boisdurocher,,,0,0,
rond,,,328,6799,true
boisrondauberge,,,0,0,
moine,,,0,0,
canche,,,461,12696,true
anarchodrome,,,0,0,
zinnen,,,400,5939,true
beorlots,,,0,0,
beorlotsnord,,,0,0,
beorlotsouest,,,0,0,
cornebiche,,,485,1862,true
petitereine,,,0,0,
reine,,,349,4068,true
cretenord,,,0,0,
milly,,,0,0,
millyest,,,0,0,
mariniers,,,0,0,
telegraphe2,,,354,2033,true
touche,,,0,0,
valleechaude,,,0,0,
charme,,,0,0,
valleeronde,,,0,0,
arcades,,,0,0,
auvergne,,,0,0,
grandesvallees,,,0,0,
longsvaux,,,0,0,
rochefeuilletee,,,0,0,
coquibus,,,84,566,true
vendee,,,0,0,
courances,,,0,0,
coquibuswest,,,0,0,
guichet,,,0,0,
joncs,,,0,0,
montignotte,,,0,0,
montrougetouest,,,0,0,
montrouget,,,0,0,
rochequitourne,,,0,0,
voleurs,,,0,0,
ancetres,,,0,0,
guinguette,,,0,0,
hameau,,,399,2178,true
loutteville,,,311,416,true
beauvais,,,552,7705,true
rochesnoires,,,128,484,true
beauvaisest,,,0,0,
telegraphe,,,135,689,true
charbonniere,,,0,0,
valette,,,0,0,
cheminroyal,,,0,0,
hautepierre,,,0,0,
grotteauxfees,,,0,0,
padole,,,0,0,
centmarches,,,0,0,
moigny,,,0,0,
noisy,,,0,0,
oncynord,,,0,0,
oncy,,,0,0,
videlles_abbatoir,,,0,0,
videlles,,,0,0,
aiguille,,,0,0,
ballancourt,,,0,0,
montgriffard,,,0,0,
boissylecutte,,,0,0,
chamarande,,,0,0,
belvedere,,,0,0,
gillevoisin,,,0,0,
croubis,,,0,0,
champs,,,0,0,
etampes,,,0,0,
etrechy,,,0,0,
buttesaintmartin,,,0,0,
rocheplate,,,0,0,
fertealais,,,0,0,
pendu,,,0,0,
sanglier,,,0,0,
comble,,,0,0,
maisse,,,0,0,
mondevillecapavance,,,0,0,
mondeville,,,0,0,
mondevillerocheauxdames,,,0,0,
billard,,,0,0,
chatillon,,,0,0,
mignot,,,0,0,
prunay,,,0,0,
valpuiseaux,,,0,0,
villeneuve,,,0,0,
maincourt,,,0,0,
troche,,,0,0,
vauxdecernay,,,0,0,
orsay,,,0,0,
merantais,,,0,0,
angennes,,,0,0,
saintremy,,,0,0,
burbage-south,,,0,0,true
